,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
26.4,-4.532361375,-8.70217803,-0.362544719,-5.672781011,-11.35521386,0.009651835,-4.242394609,-13.27229335,4.787504126,6.728714356,-1.986460883,15.4438896
26.35,-4.261769354,-7.710460275,-0.813078432,-7.291022641,-13.33541898,-1.246626304,-5.303040995,-13.88892639,3.282844401,5.861456637,-2.623126988,14.34604026
26.3,-3.119369456,-7.580215998,1.341477086,0.25807098,-6.676187875,7.192329835,2.421249845,-8.883923368,13.72642306,10.2447853,-2.012784175,22.50235477
26.25,-3.095679698,-7.551870297,1.360510901,-1.402852949,-9.271138532,6.465432634,-0.279070703,-12.4499712,11.8918298,5.461631015,-8.261602775,19.1848648
26.2,-2.603943436,-6.680360136,1.472473263,-0.698297482,-6.172229395,4.775634432,7.717724829,-1.309252398,16.74470206,12.2766684,2.909193706,21.6441431
26.15,-3.792815776,-8.19906329,0.613431737,-2.938535806,-8.902323352,3.02525174,0.405568187,-9.276646753,10.08778313,6.512467266,-3.220285223,16.24521976
26.1,-0.874819521,-4.600682036,2.851042994,-6.797597378,-12.36493491,-1.230259843,-7.158484395,-15.71692076,1.399951975,-2.877764037,-12.88714199,7.131613917
26.05,-3.348163903,-7.29448799,0.598160184,-11.69240982,-17.39973832,-5.985081333,-6.849217617,-15.36839043,1.669955196,-2.446766324,-12.28204076,7.388508111
26,3.448980966,-0.332011654,7.229973585,-1.284766651,-8.543558728,5.974025426,8.273444241,-1.479910491,18.02679897,10.63420458,2.613731779,18.65467739
25.95,2.707296674,-1.826661514,7.241254862,-1.505044007,-8.318189043,5.308101029,7.084274933,-3.133377883,17.30192775,13.53750223,4.71774718,22.35725728
25.9,-3.010298221,-6.18009118,0.159494738,-6.746759613,-13.19487454,-0.29864469,5.832933855,-1.483696951,13.14956466,7.019399778,-1.346084228,15.38488378
25.85,-1.793299308,-5.003508627,1.416910011,-4.243700036,-10.49079027,2.003390196,9.006793588,1.528181316,16.48540586,8.139376422,-0.052196191,16.33094903
25.8,-3.802998152,-8.576506738,0.970510434,-12.63000533,-19.08744629,-6.172564367,-8.31567767,-16.99148534,0.360129996,-1.462139677,-9.456829229,6.532549875
25.75,-4.736870017,-8.881040383,-0.592699652,-14.27826832,-20.18854275,-8.367993897,-10.68662346,-19.01882585,-2.354421062,-0.396178666,-8.783352095,7.990994762
25.7,1.985845692,-1.580789388,5.552480772,1.167206505,-4.124813531,6.459226542,2.85965913,-4.762910643,10.4822289,7.107539916,-2.08469391,16.29977374
25.65,1.092021984,-2.412414343,4.596458312,2.027852054,-2.94058412,6.996288229,3.466290094,-3.626412897,10.55899309,10.01399221,1.15873704,18.86924739
25.6,-2.259058462,-6.304280294,1.786163369,-8.188313281,-14.80339995,-1.573226615,-1.811299139,-12.03388578,8.411287504,14.35358215,5.10127921,23.6058851
25.55,-2.201179784,-5.902544697,1.50018513,-6.183759031,-12.33296252,-0.034555542,1.192736527,-9.181692241,11.5671653,20.4086177,11.52803097,29.28920443
25.5,-2.833622061,-7.714138379,2.046894256,-2.789823569,-8.985117406,3.405470269,8.037224778,0.185209446,15.88924011,20.10345002,12.27782363,27.92907641
25.45,-2.590192367,-6.800089888,1.619705154,-1.718000613,-6.76424928,3.328248053,9.248805143,2.589576593,15.90803369,18.24816012,10.87510383,25.6212164
25.4,-2.444488236,-6.726864699,1.837888227,0.359100353,-5.37059032,6.088791027,12.71643269,4.531381601,20.90148379,18.53815878,9.030710639,28.04560692
25.35,-2.438900635,-7.011090288,2.133289017,0.418346493,-5.365040375,6.201733361,12.89220797,4.797956241,20.9864597,17.04983141,7.782449769,26.31721304
25.3,2.091661804,-1.746910635,5.930234243,3.572330713,-3.216440832,10.36110226,11.37099597,0.101066011,22.64092592,9.49878087,-2.279390212,21.27695195
25.25,0.78441485,-3.456800319,5.02563002,4.318615675,-3.116851099,11.75408245,13.77126858,2.055757372,25.48677979,13.61272569,1.820551022,25.40490037
25.2,1.769463987,-1.710554937,5.249482911,-0.172624905,-7.618496379,7.27324657,4.81181977,-6.05011855,15.67375809,1.998108868,-9.36018773,13.35640547
25.15,3.154064127,-0.265535903,6.573664157,7.507997668,1.630850436,13.3851449,12.77662241,3.557287983,21.99595684,6.425379029,-4.352996127,17.20375418
25.1,1.58278159,-1.764312676,4.929875857,1.760333902,-4.838465919,8.359133723,8.472403487,1.642439098,15.30236788,8.59006255,-2.534805731,19.71493083
25.05,0.990682802,-1.913878889,3.895244493,0.982780055,-5.925213159,7.890773268,3.903055714,-4.976642463,12.78275389,11.62292474,1.324898735,21.92095074
25,2.134338673,-1.229276033,5.49795338,9.361383027,3.825973394,14.89679266,1.233896357,-7.384149148,9.851941861,6.861517678,-0.746924697,14.46996005
24.95,4.007556375,0.686034263,7.329078488,9.818171838,3.103685441,16.53265824,2.128576367,-7.097964586,11.35511732,9.144857073,0.496951324,17.79276282
24.9,-1.58617608,-6.564162203,3.391810042,-12.78511176,-21.60033654,-3.969886977,-7.011519187,-17.40421729,3.381178913,-11.19433429,-23.053429,0.664760412
24.85,-0.200699197,-4.983248633,4.58185024,-11.46745996,-19.92269117,-3.012228753,-6.481147617,-17.3832516,4.42095637,-10.80909284,-21.96946766,0.351281977
24.8,0.202460249,-3.151766902,3.556687401,-0.286698376,-6.40789289,5.834496138,-3.342246822,-10.67873491,3.994241262,6.753414299,-0.648241844,14.15507044
24.75,-0.600684452,-3.723349447,2.521980543,-0.152642679,-5.882942138,5.577656779,-3.402761531,-10.3649402,3.559417134,6.458648962,-0.895901513,13.81319944
24.7,-3.58556554,-7.342432997,0.171301918,-2.432982405,-9.675892472,4.809927662,-6.665320594,-15.59863361,2.267992422,-2.896452112,-11.6367496,5.843845379
24.65,-3.01557911,-6.776081402,0.744923181,-3.049741089,-10.34175777,4.242275589,-5.52748939,-15.26344043,4.208461652,-2.159484174,-11.19397911,6.875010761
24.6,-4.834217922,-9.669752716,0.001316872,-3.072496858,-10.69893283,4.553939119,-8.041547735,-19.09945487,3.016359404,-4.513647276,-13.34590188,4.318607325
24.55,-2.612586077,-7.358823321,2.133651168,2.456498737,-3.9284709,8.841468375,0.356609576,-8.588848144,9.302067296,-0.515184192,-8.496893721,7.466525337
24.5,2.76383074,-2.700243541,8.227905022,-0.302098397,-7.416478247,6.812281453,-5.703255421,-16.02155901,4.615048165,4.096223549,-7.196581921,15.38902902
24.45,2.185657575,-2.819518546,7.190833695,-1.788988308,-9.387569328,5.809592711,-11.89205801,-23.18547368,-0.598642343,-2.293473344,-13.90161253,9.314665837
24.4,1.083913002,-3.010588856,5.178414859,-2.358958457,-6.737328809,2.019411895,-3.888853776,-11.71506291,3.93735536,2.773946065,-4.963729082,10.51162121
24.35,2.325852899,-1.556688532,6.20839433,-4.189365739,-9.149656261,0.770924782,-3.352760408,-11.94574114,5.240220319,5.042366282,-2.557775183,12.64250775
24.3,1.40229268,-3.705096195,6.509681555,-0.179699261,-6.776549896,6.417151374,-9.694431426,-18.14122853,-1.247634323,-5.258325942,-12.59757203,2.080920151
24.25,2.22336224,-2.452557021,6.899281501,2.236417499,-4.233750892,8.706585889,-7.947351336,-16.49388031,0.599177643,-2.538815973,-9.671819769,4.594187823
24.2,5.495434034,-0.339317912,11.33018598,4.650555448,-3.271535154,12.57264605,-11.46532645,-18.93913763,-3.991515269,-12.37583275,-21.49340267,-3.258262825
24.15,5.620056608,-0.086567818,11.32668103,7.412620165,-0.091459444,14.91669977,-11.26159696,-18.62115341,-3.902040511,-12.85329924,-22.19508886,-3.511509618
24.1,-1.082844099,-5.126378877,2.96069068,1.451870353,-4.362477182,7.266217888,-0.789168587,-8.485433723,6.907096548,0.360507197,-6.524125936,7.245140329
24.05,-1.201294612,-5.052879773,2.650290549,0.499587125,-4.943848333,5.943022582,0.077185155,-7.538681115,7.693051425,-0.56430594,-7.449753307,6.321141427
24,2.593135461,-0.478938913,5.665209835,0.020482392,-4.312992212,4.353956997,-3.034729339,-9.078349106,3.008890429,-4.190251823,-10.90027702,2.519773375
23.95,2.767683944,-0.429973335,5.965341224,-0.595639719,-5.435545674,4.244266235,-2.300697291,-8.410940721,3.809546139,-3.696101954,-10.8318916,3.439687696
23.9,0.901320975,-2.834462334,4.637104283,1.136102186,-3.688758667,5.960963039,-2.673685416,-8.772086393,3.424715561,-1.307667257,-5.999965423,3.384630908
23.85,2.432768197,-1.753593358,6.619129753,5.271943431,0.093344387,10.45054248,1.343270092,-5.482576729,8.169116913,0.196299584,-4.771850889,5.164450057
23.8,0.617405354,-1.667159688,2.901970396,3.070593135,-0.388075711,6.52926198,3.862503488,-1.488520921,9.213527897,-8.043805628,-13.83216439,-2.255446865
23.75,1.187515447,-1.217394208,3.592425101,2.667117422,-1.189710861,6.523945705,1.442645969,-4.116921419,7.002213358,-10.61906287,-16.94799025,-4.290135502
23.7,-1.306521878,-4.262569501,1.649525745,0.61611754,-3.670648595,4.902883675,-0.677918339,-5.806812631,4.450975953,-2.555498333,-9.493257558,4.382260893
23.65,0.27915566,-2.766349147,3.324660467,-0.145928646,-4.141921572,3.85006428,-1.849004844,-6.332297505,2.634287817,-6.79096073,-13.15100938,-0.430912081
23.6,2.596447029,-0.371959114,5.564853172,-2.053470062,-6.224390895,2.117450771,-2.68702122,-7.709713435,2.335670995,-2.719240534,-9.009525409,3.57104434
23.55,4.675490769,1.371651578,7.97932996,-1.400459981,-6.414437491,3.613517528,-2.942239799,-8.278157896,2.393678298,-4.688508272,-11.50003696,2.123020418
23.5,1.293334066,-0.861592824,3.448260956,-3.705382525,-7.509517872,0.098752822,-8.040120075,-13.6579151,-2.422325046,-5.514989696,-12.37041736,1.340437972
23.45,1.911632668,-0.10228637,3.925551705,-5.041617455,-8.695003763,-1.388231147,-10.15632607,-15.86229838,-4.450353749,-7.610766861,-14.14240191,-1.079131809
23.4,-0.945598021,-3.602399975,1.711203933,-8.613039215,-14.03804305,-3.188035376,-10.19506315,-17.00928105,-3.380845257,-14.19989237,-22.7778931,-5.621891634
23.35,-0.713878039,-3.498456627,2.07070055,-6.562772532,-11.8115895,-1.313955564,-9.868096093,-16.72183919,-3.014352998,-15.45625906,-23.70766222,-7.204855897
23.3,-1.018908081,-4.059494096,2.021677934,-6.696756623,-11.25728762,-2.136225627,-13.74958059,-20.27414177,-7.225019415,-10.47064966,-18.08597348,-2.855325838
23.25,-1.387304112,-4.496211087,1.721602862,-7.947096672,-12.46355655,-3.430636789,-14.47121573,-20.9616465,-7.980784956,-13.09878543,-20.48428504,-5.713285812
23.2,0.35825299,-2.192645665,2.909151645,-3.521086893,-8.115160542,1.072986757,-11.4300641,-17.86897163,-4.991156565,-10.31333629,-16.95749022,-3.669182355
23.15,-1.036340878,-3.661740055,1.589058299,-5.554379142,-10.15470223,-0.954056053,-13.11545707,-19.1587462,-7.072167938,-13.41843322,-19.98272782,-6.854138611
23.1,0.356077295,-2.29715063,3.00930522,-4.749606674,-8.029320795,-1.469892554,-9.039995332,-14.77642922,-3.303561441,-6.911167634,-14.34200006,0.519664791
23.05,-0.461575558,-2.890172004,1.967020888,-4.932319488,-8.396294063,-1.468344914,-7.063310692,-12.59228927,-1.534332117,-2.608145543,-9.054238019,3.837946933
23,0.424218121,-1.87209986,2.720536102,-0.658160959,-4.933460518,3.617138601,-7.255959049,-13.01622194,-1.495696157,-12.75548695,-19.87501928,-5.635954622
22.95,0.09223876,-2.279518215,2.463995735,-1.052896978,-5.016159034,2.910365077,-7.362906086,-12.21239641,-2.513415763,-10.6537935,-16.75773674,-4.549850258
22.9,-3.940816735,-7.241245515,-0.640387955,-7.85652227,-12.44111144,-3.271933102,-7.834658064,-13.2110407,-2.458275427,-5.15359821,-11.44566782,1.138471396
22.85,-3.00872721,-6.344335761,0.326881341,-8.40594699,-13.14467807,-3.667215907,-6.983549631,-12.4618039,-1.505295366,-4.925023744,-11.73677006,1.886722576
22.8,-4.682531657,-7.610669008,-1.754394307,-10.29135851,-14.71241831,-5.870298722,-9.337137898,-14.88391828,-3.790357519,-7.526255754,-13.33311914,-1.719392368
22.75,-2.286101924,-4.758227277,0.186023428,-8.200680387,-12.05213898,-4.349221796,-4.75689249,-9.481109079,-0.032675902,-5.473924656,-10.91520545,-0.03264386
22.7,-5.047892865,-8.06582539,-2.029960339,-12.30239942,-17.41854114,-7.18625771,-11.39654306,-17.80337143,-4.989714701,-15.37428834,-22.79068014,-7.957896544
22.65,-5.518943766,-7.976493284,-3.061394249,-12.63453162,-17.33614128,-7.932921966,-8.689352545,-14.47923879,-2.899466303,-15.48274522,-22.82621492,-8.139275515
22.6,-4.678316962,-7.177328108,-2.179305815,-12.06501168,-16.32594808,-7.804075275,-10.73168359,-16.4729142,-4.990452981,-11.56747332,-18.22756198,-4.907384668
22.55,-4.914276756,-7.785139863,-2.043413649,-12.23995743,-16.99737264,-7.482542216,-11.36269976,-17.11113592,-5.614263593,-11.00546875,-17.82766436,-4.183273133
22.5,-4.070058959,-5.827598449,-2.31251947,-9.318500697,-13.12373017,-5.513271226,-4.190123492,-9.028059793,0.64781281,-0.584604578,-6.57685061,5.407641454
22.45,-4.58311056,-6.341794352,-2.824426767,-8.46530702,-12.18120439,-4.74940965,-6.494662167,-11.54573314,-1.443591195,0.388702781,-4.693443488,5.47084905
22.4,-2.217324211,-4.412315682,-0.02233274,-5.299291465,-8.609026512,-1.989556417,-10.15105856,-15.18632306,-5.115794061,-11.24430698,-16.89959867,-5.589015295
22.35,-2.533338364,-4.593823573,-0.472853155,-5.436378093,-8.499980643,-2.372775542,-8.333262857,-12.93992182,-3.726603895,-8.321208014,-13.14958449,-3.492831537
22.3,-6.875506126,-10.34953184,-3.401480413,-14.36661434,-19.29382751,-9.439401172,-11.47596449,-17.76433907,-5.187589916,-13.42548839,-20.22329452,-6.627682258
22.25,-7.929500751,-11.72255627,-4.136445227,-14.24298754,-19.18704322,-9.298931853,-13.10366394,-19.93646297,-6.270864905,-13.98329702,-21.3068744,-6.659719635
22.2,-1.830396815,-5.598474013,1.937680382,-8.900662001,-13.74873539,-4.052588608,-3.889800988,-8.977725446,1.19812347,-5.690510925,-10.66070415,-0.7203177
22.15,-2.730294787,-6.058140933,0.597551359,-7.573383157,-11.28118518,-3.865581133,-5.473463762,-10.40799087,-0.538936649,-6.900713109,-12.22359815,-1.577828071
22.1,-5.366444556,-7.496127173,-3.236761939,-11.18011305,-14.88969274,-7.470533357,-9.473248713,-14.35220184,-4.594295584,-10.57593427,-16.5929167,-4.558951833
22.05,-5.634900053,-7.714920559,-3.554879547,-11.46049288,-15.24174621,-7.679239556,-7.780321845,-12.40773448,-3.152909208,-5.71646436,-10.82388088,-0.609047844
22,-7.766222325,-10.22200388,-5.310440767,-12.57394634,-15.47050273,-9.677389944,-12.21309727,-16.75306748,-7.673127064,-3.023900275,-7.604737546,1.556936997
21.95,-8.814418893,-11.43696595,-6.191871832,-11.77962011,-14.91644973,-8.642790485,-10.22863793,-14.53481948,-5.922456377,0.560884267,-3.604583508,4.726352043
21.9,-3.37099973,-5.294434016,-1.447565445,-6.161519837,-9.352931601,-2.970108074,-3.829947499,-7.848328635,0.188433637,-4.595106141,-8.853677723,-0.33653456
21.85,-4.223788955,-6.263525361,-2.184052548,-7.134698402,-10.53303556,-3.736361245,-4.549379991,-9.064018188,-0.034741795,-4.982927962,-9.046445707,-0.919410216
21.8,-4.830536773,-6.42187515,-3.239198397,-11.53625046,-15.46561852,-7.606882398,-13.11863728,-18.31108126,-7.926193313,-11.64426536,-17.29232479,-5.996205935
21.75,-3.907588619,-5.536770846,-2.278406391,-10.44515065,-14.53512875,-6.355172556,-13.02090637,-18.15412693,-7.887685806,-12.07049387,-17.81243499,-6.328552743
21.7,-5.721851887,-8.184025463,-3.25967831,-9.815414482,-13.14189106,-6.488937907,-10.11062253,-15.06218185,-5.159063209,-11.32977269,-18.11166102,-4.547884361
21.65,-7.506585358,-10.40841063,-4.604760087,-10.24265407,-13.75991685,-6.725391293,-10.2180766,-15.41422417,-5.021929038,-14.0835956,-20.48029123,-7.686899962
21.6,-7.705532131,-10.22581312,-5.185251143,-8.419101665,-11.57349131,-5.264712016,-11.9060478,-16.74370248,-7.068393112,-11.28450052,-17.17331585,-5.39568519
21.55,-6.500915065,-8.928480991,-4.07334914,-8.250353635,-11.56029148,-4.940415787,-12.57780306,-17.52200932,-7.6335968,-10.86781856,-16.82819224,-4.907444884
