"Latitude","Mean","CI_lower","CI_upper"
17.35,-17.8801693725636,-21.6627513088758,-14.0975874362515
17.3,-23.4872387920214,-27.9555597575231,-19.0189178265198
17.25,-24.357058838135,-28.9920288174512,-19.7220888588189
17.2,-27.77070019871,-34.811107584494,-20.7302928129259
17.15,-27.9577679528988,-34.2776508792038,-21.6378850265937
17.1,-31.4078332309922,-37.8147745863254,-25.0008918756589
17.05,-31.1431194168233,-36.367454589794,-25.9187842438527
17,-23.968737836023,-28.7920854114273,-19.1453902606187
16.95,-22.8282906644715,-27.8459657417309,-17.8106155872121
16.9,-20.0180869890296,-23.7368776008189,-16.2992963772402
16.85,-21.3380172314315,-25.1838599513043,-17.4921745115587
16.8,-28.618829798746,-35.0082360061162,-22.2294235913757
16.75,-31.5286814390303,-38.5455941970474,-24.5117686810132
16.7,-20.8952808708287,-25.4068142992084,-16.3837474424491
16.65,-24.5326804229894,-30.1144704970683,-18.9508903489104
16.6,-26.1392783620923,-31.4909581964918,-20.7875985276927
16.55,-28.5825002287273,-34.030606111513,-23.1343943459416
16.5,-25.7718279941348,-32.7004546948059,-18.8432012934637
16.45,-22.4745360151241,-27.2235351817051,-17.725536848543
16.4,-21.5401904196966,-25.2752513745437,-17.8051294648496
16.35,-21.5902439146871,-25.9494776427992,-17.2310101865749
16.3,-26.4261223734642,-32.4202046842313,-20.432040062697
16.25,-27.8264704899753,-35.2690072831806,-20.3839336967699
16.2,-18.7835617089925,-22.5039010286442,-15.0632223893407
16.15,-19.6863380720918,-23.6662179674022,-15.7064581767813
16.1,-27.3608218611103,-34.1711333521493,-20.5505103700713
16.05,-26.4959999298056,-33.2675916749684,-19.7244081846428
16,-29.8596871159971,-34.9899403089221,-24.729433923072
15.95,-25.9540982021049,-31.4223727053374,-20.4858236988724
15.9,-21.1827272742987,-27.2445547583932,-15.1208997902041
15.85,-25.1465956556036,-33.3698611977153,-16.9233301134919
15.8,-21.4794029725243,-26.3397861965422,-16.6190197485063
15.75,-24.7891379975039,-30.8948288907509,-18.6834471042569
15.7,-28.0593332098176,-35.5916127212391,-20.5270536983961
15.65,-32.2605881550733,-39.8620599435846,-24.659116366562
15.6,-39.635348999223,-53.3810053770457,-25.8896926214004
15.55,-39.2446668729186,-52.4610281846752,-26.0283055611621
15.5,-22.8011108901766,-31.8535979181613,-13.7486238621919
15.45,-25.8139534994613,-36.2013098816252,-15.4265971172974
15.4,-19.7708475417379,-24.9199364004985,-14.6217586829772
15.35,-18.0006558774803,-22.0613991314048,-13.9399126235557
15.3,-31.9991307535033,-39.5586700105233,-24.4395914964833
15.25,-33.7767648986157,-42.2649521922859,-25.2885776049456
15.2,-28.278196842944,-36.1179245324864,-20.4384691534016
15.15,-29.3648386463042,-38.0760482531824,-20.653629039426
15.1,-23.575441086117,-29.1369979850044,-18.0138841872295
15.05,-23.2237878484708,-28.867188776861,-17.5803869200806
15,-19.4910619318221,-22.677870374235,-16.3042534894093
14.95,-19.3732757885651,-22.4032383425532,-16.3433132345771
14.9,-21.3744776141204,-25.0642106719929,-17.6847445562479
14.85,-21.7550354069957,-26.1905421002178,-17.3195287137737
14.8,-23.9792761337992,-28.3817039274168,-19.5768483401817
14.75,-22.6172184038241,-26.9013400106463,-18.3330967970019
14.7,-22.1718180862566,-26.460281969524,-17.8833542029892
14.65,-24.5315625220537,-28.5701076162574,-20.4930174278501
14.6,-21.2879070055981,-24.9259437914685,-17.6498702197278
14.55,-22.2283332905535,-25.8850663753871,-18.5716002057198
14.5,-14.913333311332,-18.0805033339984,-11.7461632886657
14.45,-14.2979526980303,-17.2610943366397,-11.334811059421
14.4,-16.671509423627,-19.4207881236828,-13.9222307235712
14.35,-15.3506000574927,-18.0834880750782,-12.6177120399071
14.3,-15.5791818171062,-18.1133952107068,-13.0449684235056
14.25,-16.468097325843,-19.161283005926,-13.77491164576
14.2,-15.3673592809088,-17.2805440340555,-13.4541745277621
14.15,-15.2370666579405,-17.1830728835635,-13.2910604323176
14.1,-13.7142922265889,-15.6845966578457,-11.743987795332
14.05,-15.8530807995209,-18.3360257580381,-13.3701358410037
14,-15.0571597670949,-17.8710129774635,-12.2433065567263
13.95,-15.7289411350647,-18.7747931134002,-12.6830891567291
13.9,-14.3681720275111,-16.9027651892171,-11.8335788658052
13.85,-12.8341397863803,-14.8238270821478,-10.8444524906128
13.8,-12.4675807367049,-14.5214659621338,-10.413695511276
13.75,-10.7949214701721,-12.444796117937,-9.14504682240718
13.7,-11.6944943612881,-13.5470776605155,-9.84191106206072
13.65,-10.3467441486238,-11.8501728700059,-8.84331542724171
13.6,-11.0925888052012,-13.1120861934006,-9.07309141700168
13.55,-9.22942404355367,-10.5198155712593,-7.93903251584806
13.5,-12.3946907607186,-14.7352361024961,-10.054145418941
13.45,-12.5263784326311,-15.1643617689611,-9.88839509630114
13.4,-9.8077000139188,-11.0939234729025,-8.52147655493511
13.35,-10.6850259761505,-12.1031065129505,-9.26694543935039
13.3,-10.6517674266512,-12.2522916947999,-9.05124315850255
13.25,-10.2585514159264,-11.7628192599522,-8.75428357190054
13.2,-8.68286433463083,-10.2374266307,-7.12830203856169
13.15,-7.84240840145274,-9.52847001114402,-6.15634679176146
13.1,-7.69517241875306,-8.65971147766465,-6.73063335984148
13.05,-7.92624339185379,-9.01968355792867,-6.83280322577891
13,-7.18954751401195,-8.19143267466066,-6.18766235336325
12.95,-7.27510821208099,-8.34606823530612,-6.20414818885587
12.9,-7.7898139401404,-9.17075158582473,-6.40887629445607
12.85,-7.70526829214721,-9.04714552418738,-6.36339106010704
12.8,-8.23138249706701,-9.41467806313143,-7.04808693100258
12.75,-8.23105509298931,-9.46443550154875,-6.99767468442987
12.7,-7.67943397832963,-8.77488960998911,-6.58397834667016
12.65,-7.93940905833786,-9.30440863358337,-6.57440948309235
12.6,-9.09269908307929,-10.532835997565,-7.65256216859362
12.55,-8.71422015339,-10.0546743860712,-7.3737659207088
12.5,-10.1597551126489,-11.8479981333051,-8.47151209199276
12.45,-10.2108879959477,-11.8119680284035,-8.60980796349184
12.4,-10.5411986640195,-12.1514835645996,-8.93091376343945
12.35,-11.4817869968303,-13.2639365108129,-9.69963748284768
12.3,-8.89852139171111,-10.4152831527385,-7.38175963068369
12.25,-9.37536289799779,-10.9558485012919,-7.79487729470367
12.2,-9.95776949697571,-11.7841114403043,-8.13142755364716
12.15,-10.0397378153792,-12.1817444417991,-7.89773118895929
12.1,-12.4872580371316,-14.4794339718276,-10.4950821024357
12.05,-11.9065546705974,-13.7708287424547,-10.0422805987402
12,-7.9888474736994,-9.10982353120744,-6.86787141619136
11.95,-7.88096774725985,-9.13081906950056,-6.63111642501914
11.9,-8.40809678876352,-9.53773933124102,-7.27845424628602
11.85,-9.00053004037207,-10.3375838867995,-7.66347619394463
11.8,-9.0094444542968,-10.6470674432906,-7.37182146530298
11.75,-9.37594409449795,-11.0000142975596,-7.75187389143634
11.7,-9.26547769080419,-10.8292722172446,-7.70168316436375
11.65,-8.73353894899127,-10.2190570569858,-7.24802084099678
11.6,-8.41162335481979,-9.74857830876404,-7.07466840087554
11.55,-8.43578275897133,-9.5248507318929,-7.34671478604976
11.5,-7.92664455377382,-8.99689309483412,-6.85639601271352
11.45,-7.64029035446263,-8.75921136261823,-6.52136934630703
11.4,-9.79130136483183,-11.9951038094124,-7.5874989202513
11.35,-9.41422532608367,-11.6334357249638,-7.1950149272035
11.3,-7.82821753170916,-9.30944307867383,-6.34699198474449
11.25,-8.46752265474431,-10.1663587630932,-6.76868654639546
11.2,-6.7233139513342,-7.60506203931137,-5.84156586335702
11.15,-6.46732352431316,-7.14678144121139,-5.78786560741492
11.1,-8.57673203965247,-10.0001319456852,-7.15333213361975
11.05,-7.68071667233585,-8.90444646015507,-6.45698688451664
11,-6.61844154962568,-7.99007635038428,-5.24680674886708
10.95,-6.17405847631177,-7.34247694608468,-5.00564000653886
10.9,-6.6922922639822,-7.53309171605342,-5.85149281191098
10.85,-6.38416668365913,-7.15109595663698,-5.61723741068128
10.8,-5.80075581848816,-6.5838459343889,-5.01766570258742
10.75,-5.91368263385476,-6.73128788277641,-5.09607738493311
10.7,-6.62198908776755,-7.49113889257513,-5.75283928295997
10.65,-7.01361538011294,-7.96978785637155,-6.05744290385434
10.6,-6.22857908952492,-6.95967561052333,-5.49748256852651
10.55,-6.66041095161377,-7.49328380735956,-5.82753809586798
10.5,-7.95270473121783,-9.45206871454432,-6.45334074789135
10.45,-7.66859339365778,-9.17952469255658,-6.15766209475898
10.4,-7.35992422866906,-8.77770690062965,-5.94214155670848
10.35,-7.36818181608695,-8.82815573947298,-5.90820789270092
10.3,-6.74600972025372,-7.60098609548492,-5.89103334502253
10.25,-6.54909973111176,-7.38945026829725,-5.70874919392627
10.2,-6.27280519402451,-7.08059654394967,-5.46501384409936
10.15,-6.5546376634758,-7.35884537840031,-5.75042994855129
10.1,-7.21196346480366,-8.30826066846779,-6.11566626113953
10.05,-7.67497695989323,-8.8185813252114,-6.53137259457506
10,-8.6045322099395,-9.54049720126165,-7.66856721861735
9.95,-8.71429752911369,-9.73913038129542,-7.68946467693196
9.9,-8.11898409080993,-9.01794739490028,-7.22002078671958
9.85,-8.0758988770276,-8.94665229788485,-7.20514545617035
9.8,-7.08091440082234,-7.83628330175052,-6.32554549989417
9.75,-7.72989815524011,-8.64180743475368,-6.81798887572655
9.7,-7.12060545067184,-7.89073885495129,-6.35047204639238
9.65,-7.31714287750861,-8.29493407301314,-6.33935168200409
9.6,-6.88439232979946,-7.65146508561779,-6.11731957398113
9.55,-6.94824443876742,-7.6457348941543,-6.25075398338054
9.5,-6.87118072707251,-7.67881767688197,-6.06354377726305
9.45,-6.93413625340319,-7.75386621066073,-6.11440629614565
9.4,-6.78794189234496,-7.57403291897272,-6.0018508657172
9.35,-7.14988208777394,-7.99505767770023,-6.30470649784765
9.3,-7.1015217386789,-7.9579773715537,-6.2450661058041
9.25,-7.83816231086601,-8.91019306000915,-6.76613156172287
9.2,-7.98520644927193,-8.87274351601765,-7.0976693825262
9.15,-7.64571432392675,-8.40162405368475,-6.88980459416875
9.1,-6.82399080500621,-7.47790454810016,-6.17007706191227
9.05,-6.63082568835758,-7.28688924991506,-5.97476212680009
9,-7.14494381139284,-7.95605380993114,-6.33383381285455
8.95,-6.78449244261769,-7.47813310355493,-6.09085178168045
8.9,-7.53271010702773,-8.26987802185062,-6.79554219220484
8.85,-7.11729508998316,-7.73556653259333,-6.49902364737298
8.8,-8.82365532783145,-9.90295636159663,-7.74435429406628
8.75,-9.1218989983013,-10.0376025996877,-8.20619539691491
8.7,-8.38033472886113,-9.16606571808173,-7.59460373964054
8.65,-8.67500001498637,-9.67972714319793,-7.67027288677481
8.6,-8.25967985095559,-9.12948391792948,-7.3898757839817
8.55,-8.40666664236536,-9.33120248748208,-7.48213079724863
8.5,-8.13550783628307,-8.96032751192477,-7.31068816064137
8.45,-8.33116830056993,-9.26898580339315,-7.3933507977467
8.4,-9.92150096626875,-11.0540623065791,-8.78893962595837
8.35,-9.37296723366601,-10.4683935708918,-8.27754089644023
8.3,-8.56454064721709,-9.31580852590188,-7.8132727685323
8.25,-9.32358285710349,-10.1684914139613,-8.47867430024569
8.2,-9.5050425518723,-10.5189766608977,-8.49110844284691
8.15,-9.8953309178499,-10.9659291332106,-8.82473270248923
8.1,-10.7646904423218,-12.0786980070362,-9.45068287760729
8.05,-10.189078893691,-11.3552365609748,-9.02292122640731
8,-9.26183486230876,-10.2191138860495,-8.30455583856804
7.95,-9.45171268568348,-10.4184860373617,-8.4849393340053
7.9,-9.37794370869037,-10.6348558560501,-8.12103156133064
7.85,-9.82497823899207,-11.097053307061,-8.55290317092317
7.8,-9.55669473236327,-10.5920563440971,-8.52133312062944
7.75,-9.48252155567553,-10.5101971525687,-8.45484595878231
7.7,-10.5858139223008,-12.2226250953901,-8.94900274921143
7.65,-9.74928570705897,-11.2503798929241,-8.24819152119384
7.6,-9.83030107327765,-11.2510907542267,-8.40951139232858
7.55,-10.1498888821817,-11.5550784990509,-8.74469926531254
7.5,-10.4898886144709,-11.7932682364477,-9.18650899249418
7.45,-10.4958114420072,-11.8582335966117,-9.13338928740274
7.4,-10.3240767395798,-11.6904807956468,-8.95767268351284
7.35,-9.81981220117772,-11.0870912123791,-8.55253318997638
7.3,-8.07551471910021,-8.99222068705327,-7.15880875114714
7.25,-8.08578432367329,-9.03162536298766,-7.13994328435892
7.2,-8.21526559224613,-9.27327979092629,-7.15725139356598
7.15,-8.73511259317364,-9.84073317196065,-7.62949201438663
7.1,-8.30725807737783,-9.26314917911428,-7.35136697564139
7.05,-8.58076743121845,-9.62787387964557,-7.53366098279133
7,-8.81966743940344,-9.92591391395951,-7.71342096484737
6.95,-8.68123318876804,-9.703372102604,-7.65909427493209
