,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
26.05,-7.146422247,-11.22700842,-3.065836075,-12.25592037,-16.40317433,-8.108666416,-17.97696755,-25.03298475,-10.92095034,-20.62242314,-29.1921045,-12.05274177
26,-7.804841481,-12.93200543,-2.677677535,-14.89258534,-19.34064488,-10.4445258,-19.61952228,-26.14028331,-13.09876126,-22.70648967,-30.79290569,-14.62007365
25.95,-8.461686164,-12.32893441,-4.594437919,-15.02908608,-19.14304576,-10.9151264,-20.79387178,-27.44482898,-14.14291459,-24.36108633,-32.85288331,-15.86928935
25.9,-3.326959116,-5.921231591,-0.732686641,-13.04832438,-17.33484557,-8.761803186,-23.14003585,-31.48883826,-14.79123343,-24.97299317,-34.37710965,-15.56887668
25.85,-6.329873906,-9.612353247,-3.047394565,-13.31259435,-17.39899502,-9.226193669,-21.96635887,-28.87374721,-15.05897052,-27.15264263,-35.01949457,-19.28579069
25.8,-5.603159979,-8.824546412,-2.381773546,-11.50213274,-15.31561706,-7.688648409,-21.4286496,-28.64485741,-14.21244179,-26.56403885,-34.53380377,-18.59427393
25.75,-10.6624212,-14.98776218,-6.337080212,-13.91779489,-18.63069951,-9.204890264,-27.31998638,-36.20576436,-18.43420839,-25.71879189,-34.07672217,-17.36086162
25.7,-5.660131461,-8.315236159,-3.005026763,-13.24798169,-17.54778805,-8.948175329,-17.49496871,-23.41575877,-11.57417865,-17.50537429,-23.82075973,-11.18998885
25.65,-13.93120894,-19.64803785,-8.214380036,-17.62054647,-23.18732603,-12.0537669,-22.81090441,-29.86339969,-15.75840913,-24.93815844,-31.90985574,-17.96646113
25.6,-7.182174851,-10.64922821,-3.715121491,-15.09915875,-19.10208074,-11.09623677,-22.48439429,-28.87298524,-16.09580335,-28.53894594,-36.13973029,-20.93816159
25.55,-6.537918152,-9.761769227,-3.314067078,-11.45048788,-14.99311813,-7.907857634,-20.93736544,-27.64716577,-14.22756511,-23.39125076,-30.27866697,-16.50383456
25.5,-3.648021421,-6.136019879,-1.160022963,-7.647453671,-10.97630181,-4.31860553,-11.80123225,-17.08107963,-6.521384857,-13.85765501,-19.44845912,-8.266850891
25.45,-5.681099854,-8.391733288,-2.97046642,-7.480901279,-11.05405299,-3.90774957,-11.02027778,-16.84240638,-5.19814918,-13.49692619,-20.05670576,-6.937146613
25.4,-2.639102369,-5.504966298,0.22676156,-7.682258154,-10.81130627,-4.553210037,-10.50733253,-16.05469287,-4.959972189,-9.20077378,-15.54322691,-2.858320646
