,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
25.15,1.338523185,-3.887421006,6.564467375,-0.869245932,-8.263479762,6.524987899,2.055866584,-10.32105982,14.43279299,2.896852246,-11.4161838,17.20988829
25.1,3.061897328,-2.819973433,8.943768088,1.569088154,-5.203832894,8.342009201,14.05160622,2.966109021,25.13710342,8.309747703,-4.648724323,21.26821973
25.05,-1.749005645,-6.673847351,3.175836061,0.974040657,-6.043182631,7.991263945,3.397347138,-5.259291699,12.05398597,8.841243859,0.202197398,17.48029032
25,-0.854193374,-6.053143819,4.344757071,-2.889081262,-10.5197385,4.741575979,-6.562513632,-15.81361965,2.688592386,-0.684137595,-10.5313058,9.163030613
24.95,4.523365282,-1.779427984,10.82615855,2.772633903,-6.908030031,12.45329784,0.566017901,-10.90159622,12.03363202,-8.645462619,-19.28255548,1.991630242
24.9,-2.440301938,-8.318902734,3.438298858,-4.103330056,-10.55860184,2.351941726,0.5257414,-10.34460887,11.39609167,4.244364491,-6.612488591,15.10121757
24.85,-2.053153862,-7.61565143,3.509343705,-7.33611663,-14.64040988,-0.031823378,-4.750232091,-13.87346346,4.372999279,6.002549268,-3.482322265,15.4874208
24.8,-0.085271787,-5.66994693,5.499403355,-3.147895054,-9.771527,3.475736892,-0.375638916,-9.964879483,9.21360165,4.107768328,-5.609604647,13.8251413
24.75,3.872510385,0.093137122,7.651883647,-0.323419564,-8.406788239,7.759949111,5.97217694,-4.705841537,16.65019542,3.257544313,-7.584016925,14.09910555
24.7,2.256223835,-4.117465986,8.629913655,-5.381486064,-16.03997633,5.277004203,2.863987991,-6.824783787,12.55275977,-2.80146145,-14.96884812,9.365925219
24.65,2.022833673,-2.169022986,6.214690332,-12.43831091,-22.36116216,-2.515459656,-12.14978931,-25.71862515,1.419046532,-7.3619768,-22.5825308,7.858577201
24.6,-7.469386689,-12.88474358,-2.054029796,-16.09960634,-24.33219684,-7.867015843,-14.94409177,-25.57696851,-4.311215032,-11.12727324,-23.03977267,0.785226189
24.55,-2.042865712,-7.370794641,3.285063218,-9.370606408,-18.83462152,0.093408707,-9.56104673,-20.82461275,1.702519292,-6.642353969,-20.80604342,7.521335479
24.5,0.56743006,-4.402900279,5.5377604,-6.492743886,-15.03354965,2.048061875,-2.039830647,-13.35778485,9.278123552,-2.991309121,-15.86686698,9.884248736
24.45,-0.303760504,-5.350804665,4.743283657,-5.863125667,-12.46090914,0.734657809,-2.388738194,-11.61434885,6.836872464,2.510796505,-7.216539731,12.23813274
24.4,-2.909923664,-6.477714953,0.657867625,-8.834439293,-15.41660592,-2.252272662,-5.803720386,-14.15336514,2.545924366,-5.191534298,-14.81381375,4.430745151
24.35,-2.816271162,-7.028435646,1.395893321,-9.360705711,-15.68302927,-3.038382148,-11.32197521,-20.60471039,-2.03924002,-10.18880813,-20.69979839,0.322182144
24.3,-2.278825781,-6.506758951,1.949107388,-11.47851825,-18.55170124,-4.40533526,-12.22478709,-22.11840681,-2.331167365,-6.754140314,-15.84654775,2.338267121
24.25,-2.426569615,-7.358501156,2.505361926,-9.068575238,-15.94158036,-2.195570119,-14.1456512,-23.01214453,-5.279157874,-14.45806051,-24.45434972,-4.461771311
24.2,-1.093462967,-5.210350469,3.023424534,-3.333390424,-9.770082659,3.103301811,-2.69441761,-10.53551446,5.146679245,-0.598138143,-9.218754805,8.022478519
24.15,-4.788848731,-9.543615304,-0.034082158,-16.16029229,-23.69415257,-8.626432021,-17.68842182,-26.35563438,-9.021209271,-16.76106869,-26.93637274,-6.585764634
24.1,3.439800736,-1.346919537,8.22652101,-4.083752128,-10.44449576,2.276991503,6.089095801,-0.910143505,13.08833511,-12.44712976,-21.62435577,-3.269903743
24.05,-0.790892789,-5.236490168,3.65470459,-4.515803873,-11.49893026,2.467322513,-6.305641244,-14.61562172,2.004339235,-13.25048238,-23.7225632,-2.778401547
24,6.393498351,1.929597774,10.85739893,-7.23704937,-12.19480918,-2.279289557,-8.889692806,-16.62852147,-1.150864139,-11.60961676,-20.94727912,-2.271954397
23.95,1.1331873,-2.742050338,5.008424939,-5.919764421,-12.28245263,0.442923787,-7.774410808,-15.80090807,0.252086456,-10.50463566,-20.22289732,-0.786374005
